"arg_sig","count"
"[sS, sC, sD, M{D}, C, D, M{I}, sI, I, sN, M{C}, data.frame]",1
"[D, I, L]",17
"[sD, M{D}, sI]",3
"[L, data.frame, sL]",1
"[sD, raw_NA]",23
"[sF, I, data.frame, l{?}]",2
"[D, M{D}, sD]",125
"[C, D, L, sF]",1
"[C, D, I, sI, sS]",1
"[sN, unevaled]",9
"[l{sF}, l{Y}, l{I}, l{language}, l{sN}, l{C}, l{l{?}}, l{?}]",1
"[data.frame, l{l{?}}]",37
"[D, I, raw_NA, sC, sD]",2
"[sC, R, sI]",1
"[I, language, l{language}]",1
"[C, error, sC]",33
"[error, sL]",116
"[sN, l{l{?}}, l{?}]",3
"[sC, sD, C, D, I, l{C}, M{C}, data.frame, l{?}]",1
"[sS, sC, C, D, sI, I, L]",1
"[l{?}, l{C}, l{I}, l{l{?}}, l{sN}]",2
"[M{D}, C, sF, D, M{I}, I, l{D}, data.frame, l{?}]",1
"[M{I}, sE]",1
"[error, sD, sI, sN]",1
"[sF, sI, I, sN]",1
"[sF, l{?}]",2
"[C, D, I, L, sD, sI, sL, sS]",2
"[D, I, M{D}, M{I}, M{L}, missing, sD]",1
"[M{D}, sS]",55
"[D, I, l{D}]",2
"[M{I}, sN, error]",1
"[sC, unevaled]",15
"[error, sI]",42
"[sC, sD, M{D}, D, sI, M{I}, I, M{L}, M{C}]",1
"[D, I, R, sD, sI, sR]",2
"[C, I, L, raw_NA, sD, sL, sN]",2
"[error, l{l{?}}]",7
"[M{D}, sI, I, error]",1
"[sC, sD, sN]",46
"[M{I}, sF]",1
"[l{?}, l{L}, l{l{?}}]",1
"[arg14_t]",1
"[D, M{D}, missing, sD, sN, sS]",1
"[l{I}, sD, D, I, l{?}]",1
"[l{?}, l{C}, l{D}, l{I}, l{L}, l{R}, l{l{?}}]",1
"[raw_NA, sD, sR]",1
"[sL, I, L]",1
"[C, D, I, sC, sD]",9
"[C, D, I, sD, sI, sN]",1
"[M{D}, C, D, M{I}, I, M{C}, l{l{?}}, l{sF}, l{I}, l{sE}, l{D}, data.frame, l{?}]",1
"[C, D, sC, sN]",1
"[sC, sD, sL]",12
"[data.frame, l{?}]",63
"[D, M{D}, l{?}, l{D}]",6
"[D, M{C}, M{D}, M{I}, M{L}]",2
"[sD, C, l{l{?}}, l{?}]",1
"[l{L}, D, l{D}, l{l{?}}]",1
"[C, D, l{?}, sC, sN]",1
"[sC, C, M{C}]",13
"[l{expression}]",9
"[D, language, l{?}, l{D}, l{language}]",1
"[M{D}, C, D, M{I}, I, sC, l{sF}, l{I}, sD, sI, sL, l{D}, l{C}, raw_NA, data.frame, l{?}]",1
"[sD, M{D}, M{I}, M{C}]",2
"[sD, M{D}, sN]",1
"[l{?}, l{C}, l{sN}, sN]",3
"[D, sL, raw_NA, L]",2
"[raw_NA, sD, sL]",2
"[sC, l{Y}, sE, sF, C, sI, I, sL, sN, l{C}]",1
"[I, language, l{language}, sD, sL]",1
"[L, error, raw_NA, sL]",1
"[M{I}, sI]",12
"[D, M{D}, M{I}, error]",1
"[C, l{?}, l{sF}]",3
"[l{sN}, l{C}, l{l{?}}, l{?}]",2
"[l{?}, l{C}, l{D}, l{I}, sN]",1
"[error, sE]",10
"[Y, error, language, l{C}, sC, sD, sE, sF]",2
"[C, D, error]",1
"[D, I, M{D}, data.frame, l{?}, l{D}, l{I}, sI, sS]",1
"[sC, C, l{sN}, sN, l{C}, l{l{?}}, l{?}]",1
"[sS, M{D}, M{C}, raw_NA, data.frame]",1
"[error, l{?}, l{C}, l{D}]",1
"[C, I, error, sI]",1
"[sE, sF, sN]",2
"[L, raw_NA, sL]",8
"[error, sF]",26
"[sC, sD, sI]",41
"[sC, sD, C, sI, sL, sN, l{?}]",1
"[l{?}, l{l{?}}, sN]",10
"[raw_NA, sD, sN]",4
"[D, I, error, sN]",1
"[l{I}, l{L}, l{?}]",1
"[data.frame, sN]",125
"[R, sC, sF]",1
"[l{L}, l{C}, l{l{?}}, l{?}]",1
"[I, M{I}, data.frame, externalptr, l{?}, l{l{?}}]",1
"[sC, sD, C, D, sI, I, sL, sN, error, M{C}]",1
"[C, D, I, raw_NA, sC, sD]",2
"[C, D, I, L, Y, data.frame, l{?}, l{C}, l{D}, l{I}, l{L}, l{Y}, l{language}, l{l{?}}, l{sF}, l{sN}, raw_NA, sC, sD, sI, sN]",1
"[l{?}, l{D}, l{I}, missing]",1
"[arg11_t]",1
"[D, I, missing, sD]",3
"[I, M{D}]",35
"[data.frame, l{I}, l{l{?}}]",1
"[M{D}, M{L}, data.frame, missing, sS]",1
"[sC, l{I}, M{D}, C, D, sI, I, sL, l{D}, data.frame, l{l{?}}, l{?}]",1
"[D, M{D}, M{I}, data.frame, l{D}]",1
"[I, sL]",2
"[M{D}, D, l{D}]",10
"[D, M{D}, data.frame, l{?}, l{D}, sS]",1
"[D, M{D}, M{I}, M{L}, sD, sS]",1
"[C, D, sC]",12
"[missing, sD, sN]",5
"[sC, M{C}]",10
"[l{D}, l{C}]",19
"[data.frame, sL]",2
"[l{?}, raw_NA, sD, sF]",2
"[l{I}, l{C}, l{?}]",1
"[C, I, Y, data.frame, language, l{?}, l{C}, l{D}, l{I}, l{language}, l{l{?}}, l{sF}, sC, sD, sE, sF, sI, sN]",1
"[D, error, language, sC, sD, sF]",1
"[sC, sD, sF]",3
"[D, I, missing, sF]",1
"[C, D, sD]",5
"[C, D, I, sD, sI, sN, sS]",1
"[C, l{C}, l{I}]",1
"[I, M{I}, sI]",3
"[l{?}, l{l{?}}, raw_NA, sC, sN]",1
"[l{I}, l{L}, l{sN}, l{D}, l{C}, sN, l{l{?}}, l{?}]",1
"[I, R]",3
"[D, I, M{D}, l{?}, l{D}, l{l{?}}, sC, sD, sF, sI, sN]",1
"[l{sF}, l{I}, l{L}, l{X}, l{sN}, l{D}, l{C}, l{l{?}}, l{?}]",1
"[l{?}, l{sE}, sE]",2
"[arg4_t]",1
"[C, D, l{?}, sD]",1
"[M{C}, data.frame, raw_NA]",1
"[I, sI]",314
"[l{?}, l{D}, l{sN}]",4
"[sC, C, D, I]",6
"[sD, sI, unevaled]",1
"[C, D, l{?}, sC]",1
"[D, l{D}, raw_NA, sD, sN]",1
"[M{C}, M{D}, M{I}, M{L}, sC, sD]",1
"[M{D}, D, I, sN]",1
"[M{D}, M{I}, sD, sI]",2
"[missing, sD, sI]",11
"[l{?}, l{I}, sF, unevaled]",1
"[C, M{D}, D, I, L, l{l{?}}, sC, sD, sI, sL, l{D}, l{C}, raw_NA, l{?}]",1
"[sD, unevaled]",43
"[C, M{D}, D, M{I}, I]",1
"[data.frame, sS]",14
"[sE, M{I}]",1
"[C, l{?}, l{C}, l{D}, sC, sN]",1
"[l{I}, l{l{?}}]",13
"[D, L, raw_NA, sL]",1
"[C, I, l{?}, l{D}, l{Y}, l{language}, l{sF}, sC, sI]",1
"[M{I}, error]",5
"[I, M{I}, data.frame]",2
"[l{?}, l{I}]",47
"[l{?}, missing, sN]",1
"[C, M{D}, D, M{I}, I, L, M{C}]",1
"[C, M{D}, D, M{I}, M{C}, data.frame]",1
"[C, error, sC, sN]",1
"[sD, C, D, I, L]",3
"[l{language}, l{D}, l{C}, l{?}]",2
"[sD, M{D}, C, D, M{I}, I, M{C}, L, data.frame, l{?}]",1
"[sC, l{sN}, l{C}, l{?}]",1
"[D, I, sS]",2
"[I, sF]",17
"[M{D}, D, data.frame]",10
"[sC, C, l{C}, M{C}]",1
"[sD, M{D}, D, I, M{C}]",1
"[D, X, sD, sX]",4
"[D, M{I}, M{L}]",1
"[C, D, I, L, M{C}, M{D}, data.frame, language, l{?}, l{C}, l{D}, l{language}, l{l{?}}, raw_NA, sC, sD, sF, sI, sL, sN, sS]",1
"[C, D, I, data.frame]",5
"[C, l{?}, sC, sD, sN]",1
"[D, M{D}, missing]",10
"[D, I, l{l{?}}, sN]",1
"[sC, C, l{D}]",1
"[error, l{?}, l{C}, l{externalptr}, l{l{?}}]",1
"[C, l{?}, l{sN}, sC, sN]",1
"[data.frame, sF]",30
"[l{I}, I, sN]",1
"[C, sL, I]",1
"[C, l{?}, l{l{?}}, sC, sN]",1
"[D, I, error]",14
"[l{language}, language, sN]",1
"[data.frame, l{I}]",8
"[D, missing, raw_NA, sN]",1
"[sC, sF, sS]",1
"[R, l{?}]",1
"[I, L]",23
"[l{L}, sF, sN]",1
"[D, I, error, sD, sI]",1
"[l{?}, unevaled]",14
"[sS, l{I}, sD, M{D}, l{sN}, data.frame, l{?}]",2
"[M{D}, D]",276
"[missing, sD, sF]",1
"[sS, D, data.frame]",1
"[l{I}, D, M{I}]",1
"[C, D, sL]",1
"[M{D}, missing]",73
"[sS, M{D}, C, D, I, M{C}, l{l{?}}, sC, l{I}, l{language}, l{D}, sN, data.frame, l{?}]",1
"[l{D}, missing]",20
"[sI, sR]",3
"[l{L}, l{D}, l{C}, l{?}]",1
"[l{?}, l{D}, l{l{?}}, sN]",1
"[data.frame, sD]",11
"[C, M{L}, sI]",2
"[C, l{?}, l{C}, l{D}, l{L}, l{expression}, l{language}, l{sN}]",1
"[C, l{l{?}}, sC, sD, sI]",1
"[D, l{D}, missing]",2
"[sD, sF, language, error]",1
"[D, I, L, sI]",1
"[sC, sD, C, D, sN, l{?}, l{externalptr}]",1
"[C, l{?}, l{C}, l{D}, sC]",1
"[D, I, M{I}, data.frame, l{?}, l{C}, l{D}, l{I}, l{L}, l{l{?}}, l{sN}, l{sS}, sI, unevaled]",1
"[sC, sD, sI, sL, l{?}]",1
"[data.frame, sE]",1
"[C, sL, L]",1
"[M{D}, C]",2
"[sI, sS]",1
"[I, sS]",7
"[l{?}, l{l{?}}, missing]",2
"[C, D, sN]",7
"[sC, l{language}]",1
"[C, D, missing, sD]",1
"[C, D, I, M{D}, data.frame, l{D}, sI, sN, sS]",1
"[l{Y}, l{sN}, l{D}, l{?}]",1
"[C, M{C}, l{?}, sC]",1
"[I, sR]",1
"[sI, sL]",12
"[D, data.frame, sD]",7
"[D, I, M{D}, M{I}, R, raw_NA, sC, sD, sI, sN, sR]",1
"[L, missing, sL]",2
"[R, sC, sI]",1
"[M{D}, D, sL, l{D}]",1
"[I, L, sC, sD, sL]",1
"[C, D, I, M{I}, X, l{I}, sD]",1
"[sS, l{I}, sF, M{D}, D, M{I}, I, l{D}, data.frame, l{l{?}}]",1
"[sD, data.frame, l{?}]",1
"[sF, C, I]",1
"[I, missing, sN]",2
"[data.frame, l{D}, missing]",2
"[D, data.frame, sC]",2
"[sS, sC, sD, M{D}, C, D, sI, I, l{D}, sN, data.frame]",1
"[data.frame, sN, sS]",1
"[sC, l{I}, sE, l{C}, sN]",1
"[D, M{D}, l{D}, raw_NA]",1
"[D, M{D}, M{I}, M{L}, data.frame]",1
"[sS, D]",5
"[sF, raw_NA]",1
"[D, I, M{C}, M{D}, M{I}, error, sD, sI, sS, unevaled]",1
"[sI, sN]",90
"[C, language, sC, sF]",1
"[l{I}, I]",9
"[data.frame, sI]",1
"[I, sN]",251
"[D, I, M{C}, M{D}, raw_NA, sD]",1
"[l{Y}, l{language}]",6
"[sI, I, l{?}]",1
"[C, l{sN}, sC, sI]",1
"[M{D}, data.frame, sC, sS]",1
"[C, I, data.frame, sC, sI]",1
"[sS, C]",5
"[sC, sF, language, error]",1
"[l{?}, l{C}, l{D}, l{L}, l{expression}, l{l{?}}, sN, unevaled]",1
"[l{expression}, l{?}]",2
"[l{D}, l{C}, l{?}]",13
"[M{I}, data.frame]",24
"[l{sF}, l{D}, l{C}, l{?}]",1
"[C, error, missing]",2
"[M{C}, sF, unevaled]",1
"[I, L, l{sS}, sL, sS]",1
"[D, I, L, sD]",1
"[I, M{C}, M{D}, M{I}, data.frame]",1
"[sC, sD, D, l{?}]",1
"[l{?}, sD]",25
"[sE, raw_NA]",1
"[C, D, I, L, M{I}, data.frame, l{I}, sC, sD, sL]",1
"[M{I}, sF, unevaled]",2
"[sC, sI, data.frame]",1
"[sC, sF, sI]",1
"[sD, M{I}, I, data.frame]",1
"[C, I, M{D}, data.frame, language]",1
"[M{D}, I]",14
"[C, I, M{C}, expression, language, sC, sI, sL, sN]",1
"[Y, l{?}, l{D}, l{Y}, l{language}]",1
"[l{?}, sE]",3
"[C, I, sC, sI]",12
"[C, D, l{l{?}}, sD]",1
"[sC, sD, C, D, raw_NA]",1
"[sN, l{C}]",5
"[C, I, Y, language, sE, sF]",1
"[sC, C, l{C}, sN]",3
"[l{L}, sL, l{l{?}}, l{?}]",1
"[C, I, sC, sF]",1
"[l{?}, sF]",68
"[C, D, I, L, l{?}, l{C}, l{D}, l{I}, l{l{?}}, raw_NA, sC, sD, sI]",1
"[sE, sF]",7
"[l{language}, sD, sI]",1
"[D, M{D}, M{I}, M{L}, sD, sN, sS]",1
"[D, data.frame, sI]",1
"[data.frame, missing, sF, unevaled]",1
"[l{Y}, C, I, language, error, l{l{?}}, sC, l{sF}, sD, sE, l{L}, l{language}, sF, sI, l{pairlist}, l{sN}, Y, sL, l{C}, sN, pairlist, l{?}]",1
"[D, I, L, M{D}, M{L}, raw_NA, sD, sI, sL, sS, unevaled]",1
"[M{X}]",62
"[M{D}, data.frame, l{D}, sF, unevaled]",1
"[D, I, l{C}, sC]",1
"[C, D, I, L, M{I}, sD, sI]",1
"[D, I, sF]",9
"[sD, l{I}, D, I]",1
"[sD, D, sN]",8
"[l{sN}, l{C}, l{?}]",5
"[l{I}, sD]",2
"[M{C}, M{R}, l{C}, l{R}]",4
"[sC, sF, sN]",25
"[sD, sX]",7
"[C, D, I, L, M{C}, M{D}, M{I}, data.frame, l{?}, l{C}, sC, sD, sI, sL, sS]",2
"[l{sF}, sC, sL, l{?}]",1
"[R, C, D, X, I, L]",2
"[l{expression}, l{language}, l{L}, l{sN}, l{D}, l{C}, l{?}]",1
"[C, D, I, data.frame, raw_NA, sC, sD, sE]",1
"[sD, I]",5
"[l{D}, l{L}, sD]",2
"[D, I, sC]",6
"[D, I, M{D}, M{I}, X, data.frame, language, sD, sI, sX]",1
"[C, D, data.frame, l{?}, l{C}, l{D}, l{I}, l{L}, sD, sI]",1
"[sL, M{L}]",5
"[sD, sE, C, D, sN]",1
"[C, I, sN, unevaled]",1
"[C, I, sC, sN]",6
"[C, D, I, L, missing]",1
"[C, l{C}, l{l{?}}]",1
"[l{I}, sI, I, data.frame]",1
"[error, unevaled]",1
"[D, I, sD]",195
"[C, D, I, L, M{C}, M{D}, M{I}, M{L}, data.frame, l{?}, l{C}, l{D}, l{I}, l{L}, l{l{?}}, raw_NA, sC, sD, sF, sI, sN, sX]",2
"[sC, sF, sL]",2
"[C, l{l{?}}]",3
"[l{I}, sF]",2
"[Y, sD, sN]",1
"[L, missing, sF]",2
"[I, l{?}, l{C}, l{sN}, sI, sN]",1
"[D, data.frame, sN]",1
"[D, I, L, M{D}, missing, sD]",1
"[C, language, l{?}, l{D}, l{l{?}}, sC, sD, sE, sF, sL, sN]",1
"[D, language, sN]",2
"[sC, l{I}, M{D}, C, sF, D, sI, M{I}, I]",1
"[sC, sL, L]",2
"[C, I, expression]",1
"[l{sS}, sD]",1
"[C, D, M{D}, l{?}, sC, sI]",1
"[I, Y, language, sD, sL]",1
"[data.frame, l{?}, l{C}, l{D}, l{I}, l{l{?}}]",1
"[l{?}, l{C}, l{D}, l{I}, l{sF}, l{sS}]",1
"[C, D, I, L, M{C}, M{D}, M{I}, data.frame, l{?}, l{C}, l{D}, l{L}, l{l{?}}, raw_NA, sC, sD, sI, sL, sN]",1
"[C, D, I, L, M{C}, M{D}, data.frame, error, language, l{?}, l{C}, l{D}, l{language}, l{l{?}}, raw_NA, sC, sD, sF, sI, sL, sN, sS]",1
"[l{?}, sC]",52
"[I, L, externalptr, raw_NA, sD, sL, sN]",1
"[C, D, I, L, M{D}, raw_NA, sC, sD, sI, sL, sS]",1
"[sI, data.frame]",1
"[l{l{?}}, sF]",9
"[l{?}, l{D}, l{sF}]",2
"[R, sN, sR]",2
"[data.frame, error]",24
"[D, M{D}, M{I}, data.frame]",3
"[error, sF, sL]",1
"[M{D}, R]",1
"[sC, l{I}, sD, l{L}, D, sI, I, sL, l{D}, sN, l{C}, l{?}]",1
"[sD, C, sN, l{l{?}}, l{?}]",1
"[l{?}, l{C}, l{D}]",24
"[X, l{?}]",1
"[sC, sD, l{language}, sF, C, sL, language, sN, error, data.frame]",1
"[C, l{C}, l{sS}, missing, sC, sS]",1
"[sD, sF, raw_NA, l{?}]",1
"[l{?}, sL]",6
"[l{?}, l{C}, l{expression}, l{sN}]",1
"[l{sF}, l{I}, l{Y}, l{sS}, l{D}, l{C}, l{?}]",1
"[C, D, I, L, l{?}, sD, sX]",1
"[sC, sD, sI, sN, sR]",1
"[sD, D, I, raw_NA]",2
"[l{l{?}}, sD]",8
"[data.frame, sC, sD, sL]",1
"[R, l{?}, l{l{?}}, sC, sN]",1
"[sD, D]",1231
"[sC, sD, D, sL, sN]",1
"[C, D, I, M{I}, data.frame, l{?}]",4
"[l{?}, l{D}, l{l{?}}, l{sF}, l{sN}]",1
"[..., D, Y, expression, language, l{?}, pairlist, sC, sD, sF, sI, sL, sN, sS]",1
"[C, I, M{C}, M{I}, sC, sN]",1
"[arg1_t]",1
"[D, I, missing, sC, sD, sI]",1
"[C, language, missing, sC]",1
"[error, sF, sN]",2
"[l{l{?}}, sC]",16
"[I, l{?}, l{D}, l{I}]",1
"[M{D}, M{I}, M{L}]",3
"[M{I}, missing]",4
"[sE, sN]",27
"[l{sF}, sE, l{D}, sN, data.frame, l{?}]",1
"[C, D, I, raw_NA]",4
"[sS, l{I}]",2
"[l{?}, sN]",207
"[C, I, l{C}, l{I}, sC, sI]",1
"[raw_NA, sI, sN]",1
"[sD, C]",5
"[C, D, raw_NA, sC, sD, sF]",1
"[]",855262
"[l{sF}, l{C}, l{?}]",1
"[M{C}, M{D}, raw_NA, sD]",1
"[M{D}, data.frame, sN, sS]",1
"[D, M{D}, l{l{?}}, sC, sD]",1
"[l{?}, l{C}, l{D}, l{I}, l{language}, l{l{?}}]",2
"[D, I, sN]",56
"[C, D, I, M{C}, data.frame, l{?}, l{C}, sC, sD]",1
"[sC, C, sL, sN, data.frame]",2
"[l{sS}, L]",1
"[l{X}, l{D}, l{?}]",1
"[I, raw_NA, sD, sI, sL]",7
"[externalptr, I]",1
"[sC, sD, sF, D, sI, sL, I]",1
"[M{D}, error]",38
"[C, I, M{C}, sC]",1
"[D, R, sD, sR]",11
"[D, I, L, M{L}, missing, raw_NA, sC, sD, sI]",1
"[C, D, I, l{?}, l{C}, l{D}, l{l{?}}, raw_NA, sC, sD, sI]",2
"[l{Y}, C, l{l{?}}, sC, l{I}, l{language}, l{L}, l{sN}, l{D}, l{C}, raw_NA, data.frame, l{?}]",1
"[l{I}, l{L}, l{D}, l{C}, l{l{?}}]",2
"[D, I, raw_NA, sD, sI, sN]",1
"[C, D, raw_NA, sC, sD, sN]",1
"[sC, C, M{D}, D, I, sN, M{C}]",1
"[data.frame, sC, sN]",4
"[language, l{C}, missing, sE, sF]",1
"[D, language, sD]",1
"[language, l{C}, l{D}, sC]",1
"[C, D, l{?}, l{D}, l{sN}, sD, sF, sN]",1
"[sS, sC, sD, l{Y}, l{I}, C, D, sI, I, L, raw_NA]",1
"[C, M{D}, D, M{I}, I, M{C}, L, l{l{?}}, sC, sD, l{I}, l{L}, sI, sL, l{D}, l{C}, sN, raw_NA, data.frame, l{?}]",1
"[l{?}, l{l{?}}, l{sN}, sC, sD]",1
"[l{?}, sI]",2
"[l{expression}, l{sN}, l{C}, l{?}]",1
"[sC, sD, sF, error, data.frame]",1
"[sD, M{D}, M{C}]",1
"[sC, C, data.frame, l{l{?}}, l{?}]",2
"[l{?}, l{C}, l{D}, l{I}, l{L}, unevaled]",1
"[I, M{I}, sN]",2
"[C, language]",2
"[C, I, sC, sS]",3
"[D, I, sI]",40
"[sC, C, D, I, raw_NA]",1
"[D, I, data.frame, raw_NA, sD, sI]",1
"[D, l{D}, l{I}, sN]",5
"[C, D, I, L, l{l{?}}, raw_NA, sC, sD]",1
"[C, M{C}]",13
"[sS, M{D}, l{?}]",2
"[I, data.frame, language]",1
"[error, sF, sS]",2
"[C, l{?}, l{C}, l{D}, sC, sD]",1
"[M{D}, C, data.frame, l{?}]",1
"[sE, sI]",1
"[M{L}, l{C}, sS]",1
"[l{D}, l{I}, l{sS}]",1
"[data.frame, sC, sD, sN]",1
"[l{D}, sN, l{?}]",3
"[sS, sD, D, L]",1
"[sC, C, sN, M{C}]",3
"[missing, raw_NA, sD]",3
"[l{l{?}}, l{?}]",126
"[l{language}, l{sN}, l{?}]",1
"[C, D, I, L, M{D}, l{l{?}}, sD]",1
"[sC, C, sN]",41
"[L, error, missing]",2
"[M{C}, M{D}, M{I}]",17
"[l{C}, sI]",1
"[l{I}, l{sS}, l{sN}, l{D}, l{C}, l{l{?}}]",1
"[D, raw_NA, sD, sS]",1
"[l{?}, l{sN}, sF, sN, unevaled]",1
"[sD, D, l{D}]",7
"[C, I, sN]",13
"[l{language}, l{C}, l{?}]",2
"[M{D}, M{I}, l{D}, sD]",1
"[D, I, L, l{C}, l{I}, sC, sL, sN]",1
"[C, data.frame, l{?}, l{C}, l{D}, l{I}, l{L}, l{Y}, l{language}, l{l{?}}, l{sN}, raw_NA, sC]",3
"[D, I, L, sF, sN]",1
"[C, I, L, raw_NA, sC]",5
"[I, l{?}, sC]",1
"[C, D, I, data.frame, error, l{language}, l{l{?}}, missing, sC, sD, sF, sI, sN, sS]",1
"[sC, C, sL]",3
"[M{D}, M{I}, l{D}, l{I}]",1
"[l{?}, raw_NA, sD, sF, sL]",1
"[M{D}, M{I}, M{L}, sS]",1
"[D, L, sD, sL]",1
"[l{l{?}}, l{sF}]",2
"[sD, sI]",1442
"[I, error, l{?}, l{D}, sD, unevaled]",1
"[D, raw_NA, sC, sD, sI, sN, sR]",5
"[language, l{language}, sN]",6
"[missing, sI]",12
"[Y, l{?}, sC, sF]",2
"[l{sN}, l{C}]",2
"[C, D, I, L, M{D}, l{?}, l{C}, l{D}, l{l{?}}, raw_NA, sC, sD, sI, sL]",1
"[sD, language, error]",1
"[sC, sL, error]",1
"[M{C}, raw_NA, sC]",1
"[sD, M{D}, D, sN]",1
"[C, M{D}, D, M{I}, I, M{C}, L, l{l{?}}, sC, sD, l{I}, sI, sL, l{C}, sN, raw_NA, data.frame, l{?}]",1
"[sL, raw_NA]",20
"[R, error]",1
"[M{I}, externalptr, I, data.frame, l{l{?}}, l{?}]",1
"[sC, M{D}]",2
"[error, l{?}, l{D}, sE]",1
"[D, M{D}, data.frame, error, l{?}, l{D}]",1
"[M{D}, l{D}, sN]",3
"[D, raw_NA, sD, sN]",4
"[M{D}, M{I}, sN, M{C}, data.frame]",1
"[l{?}, l{C}, l{D}, l{L}, l{l{?}}]",2
"[l{sS}, sS]",9
"[D, sI, I, data.frame]",2
"[missing, sN]",42
"[C, I, sI]",8
"[D, I, l{C}, l{D}, l{I}, l{L}, l{sS}, sI, sS]",1
"[I, sC, sD, sN]",1
"[M{I}, I]",12
"[Y, language, sF, unevaled]",3
"[Y, language, sC, sD, sN]",1
"[I, l{I}, sI]",1
"[C, D, I, L, M{D}, l{C}, sC, sD, sI]",1
"[sC, C, sI, I]",6
"[sC, D, l{C}, data.frame, l{l{?}}, l{?}, l{externalptr}]",1
"[sD, sF, error]",3
"[D, sF]",84
"[D, I, data.frame, raw_NA, sC, sD, sI, sL]",1
"[sD, sF]",211
"[l{C}, sL]",1
"[I, sC, sD, sI, sL]",2
"[C, D, I, L, sC, sD, sI, sL, sN]",1
"[sC, I, l{C}]",1
"[sF, unevaled]",1352
"[M{D}, sE, sN]",1
"[ret_t]",1
"[sS, C, M{D}, D, M{I}, I, language, error, ..., sC, sD, sE, sF, sI, M{X}, sL, l{D}, sN, l{C}, data.frame, pairlist, l{?}]",1
"[l{?}, l{C}, l{D}, l{I}, l{L}, l{sN}]",2
"[D, sC]",70
"[missing, sL]",62
"[sE, sS]",8
"[sD, l{?}]",20
"[data.frame, l{?}, l{C}, l{language}]",1
"[Y, language, sC, sD, sL]",1
"[sD, sE]",7
"[C, M{C}, l{C}, missing]",1
"[sD, M{D}, D, raw_NA]",1
"[I, M{I}, data.frame, l{D}, l{I}, l{l{?}}, sF, sS]",1
"[C, missing, sN]",2
"[l{?}, l{C}, l{D}, l{I}, l{L}, l{X}, l{l{?}}, l{sF}, l{sN}]",2
"[l{?}, l{Y}]",2
"[sD, M{D}, D, X]",1
"[error, language, l{?}, sD, sF]",1
"[l{C}, sF, sN]",1
"[D, sD]",2281
"[l{D}, l{sN}]",7
"[M{D}, data.frame, l{?}]",3
"[sN, pairlist]",2
"[I, error]",61
"[l{C}, sN]",59
"[l{?}, sS]",29
"[I, sC, sD, sI, sN]",1
"[I, l{?}, sF]",1
"[C, D, I, l{l{?}}, sC, sD]",2
"[expression, missing, sC]",2
"[data.frame, sN, unevaled]",2
"[l{I}, C, l{sN}, l{D}, l{C}, l{?}]",1
"[l{I}, l{D}, l{?}]",13
"[sC, C, sI, sL, I, L]",1
"[C, I, sD, sI]",2
"[D, I, M{D}, R, sD, sR]",1
"[Y, language, sC, sD, sI]",1
"[sD, D, error]",1
"[sD, M{D}, C, D, M{I}, I]",1
"[sL, l{D}, sN, l{?}]",1
"[sD, sF, sL]",2
"[sD, C, D, sI, I]",1
"[D, sI]",19
"[arg19_t]",1
"[sS, sD, sF]",2
"[data.frame, l{?}, l{C}, l{l{?}}]",1
"[R, sI, sR]",1
"[sC, sD, C, D, sI, I, data.frame]",1
"[sD, sS]",7
"[M{D}, M{I}, sD, sI, sL]",1
"[C, D, I, L, sC, sD, sI, sL, sS]",1
"[sD, M{D}, l{D}]",4
"[l{sS}, sN]",6
"[C, expression, l{?}, sC, sL, unevaled]",1
"[missing, sC]",225
"[language, l{language}, sF]",1
"[bytecode, sF]",1
"[D, data.frame, missing]",2
"[sL, I]",1
"[C, D, I, L, M{C}, M{D}, M{I}, M{L}, data.frame, error, expression, externalptr, l{?}, l{C}, l{D}, l{I}, l{L}, l{Y}, l{externalptr}, l{language}, l{l{?}}, l{sS}, pairlist, sC, sD, sF, sI, sL, sN, sS]",1
"[C, D, I, L, sC, sD, sI, sL]",9
"[C, D, I, M{D}, M{I}, data.frame, sD]",1
"[l{sF}, l{L}, l{sN}, l{C}, sN, l{?}]",1
"[C, M{C}, sC, sI]",1
"[l{sS}, l{?}]",1
"[l{?}, l{C}, l{L}]",4
"[L, sC, sD]",1
"[C, l{C}]",28
"[sD, sR]",9
"[sS, sC, M{D}, data.frame]",1
"[C, D, I, L, data.frame, l{?}, l{I}, sC, sD, sF, sI, sL, sN]",1
"[D, I, M{D}, data.frame, l{I}, raw_NA, sD]",1
"[D, I, M{D}, sD, sE, sI]",1
"[Y, language, missing, sC]",1
"[C, I, l{C}, sC]",1
"[D, I, error, missing]",1
"[M{D}, l{?}]",37
"[, missing]",1
"[l{Y}, l{language}, l{sN}, l{D}, l{?}]",1
"[C, I, l{externalptr}, sC, sI]",1
"[sC, C, l{C}]",8
"[sS, C, M{D}, D, I, M{C}, sC, sD, l{I}, sI, l{C}, sN, data.frame, l{?}]",1
"[sD, sF, sN]",11
"[sC, C, M{D}, D, M{I}, I]",1
"[l{C}, sS]",1
"[C, sC]",1802
"[sD, C, D, sN, l{C}, raw_NA, L]",1
"[M{D}, l{?}, l{D}, l{l{?}}]",1
"[M{C}, error]",1
"[M{L}, raw_NA, L]",1
"[C, I, l{?}, sI]",1
"[M{D}, l{D}, l{?}]",7
"[l{I}, sS]",4
"[l{?}, l{I}, l{sS}, sS]",2
"[I, l{I}, sN]",3
"[missing]",2591
"[I, sC, sD, sI]",3
