"arg_sig","count"
"[sS, C, l{?}]",1
"[D, language, missing, sN]",2
"[I, Y, language]",1
"[C, L, error]",5
"[sE, sF, D, sN]",2
"[C, R, error, l{?}]",1
"[I, sE, unevaled]",1
"[D, sF, sN]",29
"[C, I, l{?}, missing]",3
"[externalptr, l{?}]",4
"[sF, I, sN, M{C}, error, l{?}]",1
"[C]",27789
"[C, D, I, sF, sS]",2
"[L, language, l{?}, sF]",1
"[sS, M{C}, l{?}]",3
"[sE]",1514
"[D, L, missing]",4
"[C, I, l{?}, sE, sF, sN, unevaled]",2
"[C, language, l{?}, sN]",1
"[sF, sS, unevaled]",1
"[C, D, language, l{?}, sN]",1
"[C, D, sS]",1
"[missing, unevaled]",2
"[D, M{X}, l{?}]",9
"[C, sF, unevaled]",2
"[D, M{X}]",1
"[error, language]",6
"[C, D, I, sF]",1
"[C, D, I, error, sF, sN]",1
"[sF, C, language, error]",1
"[arg16_t]",1
"[D, I, l{?}, sS]",9
"[D]",69806
"[C, D, Y, language, l{?}]",1
"[sF, D, language, error]",1
"[C, D, I, L, error, l{?}, missing, sN]",1
"[I, sF, sN]",8
"[D, L, R]",2
"[sE, unevaled]",13
"[C, L, l{?}, sN]",6
"[C, L]",253
"[language, l{?}]",36
"[D, I, M{C}, l{?}, sS]",1
"[C, l{?}]",362
"[language, sN, l{?}]",1
"[C, sF, sS]",1
"[R, M{R}, l{?}]",2
"[D, sF, unevaled]",28
"[arg9_t]",1
"[C, D, X, sN, M{C}, l{?}]",1
"[C, D, I, L, error, l{?}, sF, sN]",1
"[I, l{?}, sS]",5
"[error, sS]",25
"[D, I, l{?}, sS, unevaled]",1
"[sF]",16806
"[M{R}, l{?}]",10
"[C, I, L, sS]",1
"[C, M{C}, error]",3
"[C, M{C}, l{?}, sN]",2
"[D, L, sF, sN]",2
"[C, sE, sN]",1
"[C, D, I, L, M{C}, error, l{?}, sF]",1
"[D, X, l{?}, missing, sS]",1
"[C, D, I, L, Y, language, l{?}, pairlist, sE, sF, sN, unevaled]",1
"[C, I, L, missing]",2
"[C, l{?}, sE]",2
"[sF, sN, unevaled]",2
"[D, error, expression]",1
"[C, D, M{C}, l{?}]",3
"[error, language, sN]",2
"[C, D, sF, unevaled]",1
"[C, D, I, sN, L]",9
"[sS, unevaled]",11
"[language]",846
"[D, I, L, R]",2
"[D, R]",37
"[L, l{?}, sN]",2
"[C, D, I, L, R, sN]",43
"[D, error, sN]",6
"[arg7_t]",1
"[D, X, sN]",1
"[C, error, sF]",10
"[C, D, I, L, R, X, l{?}, sF]",1
"[C, l{?}, sF]",5
"[D, L, missing, sN]",1
"[R, I]",6
"[C, D, sN, M{C}, error, l{?}]",1
"[D, I, L, l{?}, missing, sN, sS, unevaled]",1
"[sF, C, D, I, sN, L, error, l{?}]",1
"[L, error, sN]",3
"[sS, C, D, I, sN]",1
"[C, D, I, error, l{?}, missing, sF, sN, sS]",1
"[L, error, language, sN]",1
"[I, missing, sF]",1
"[X, I]",1
"[C, L, sS]",1
"[C, l{?}, sF, sN]",4
"[M{X}, unevaled]",1
"[Y, expression, language]",1
"[sS, I]",26
"[D, l{?}, sS]",33
"[Y, sN]",3
"[C, D, I, language, L, error, sE, R, sF, M{X}, X, sN, l{?}]",1
"[I]",8971
"[C, D, I, L, Y, language]",1
"[C, D, I, missing]",9
"[sF, I, l{?}]",4
"[I, error, sE]",1
"[R, sN]",15
"[X, L]",1
"[D, L, error]",4
"[sS, L]",4
"[C, D, Y, error, sE, sF, sN]",1
"[Y, language, sN]",2
"[D, sS]",28
"[D, I, L, l{?}, sE, sF, sN]",2
"[D, I, M{C}, error, l{?}, sS, unevaled]",1
"[C, D, Y]",2
"[D, sN, error, l{?}]",1
"[C, D, I, L, Y, externalptr, language, l{?}, sE, sF, sN]",1
"[sF, sN]",320
"[sS, C, sF, D, I, language, sN, M{C}, error, l{?}]",1
"[sE, C, sF, D, sN, L, l{?}]",2
"[C, sF, D, language, error, L, l{?}]",1
"[D, I, M{C}, l{?}]",6
"[D, unevaled]",82
"[C, D, I, l{?}, sF]",3
"[D, Y, language, sN]",1
"[D, L, error, language, sF]",1
"[sE, sF, L, l{?}]",1
"[C, D, unevaled]",1
"[l{?}, pairlist]",5
"[C, I, L, sN]",5
"[error, sN]",48
"[C, D, I, Y, language, l{?}, sE, sF, sN]",1
"[, l{?}]",3
"[C, D, Y, error, language, l{?}, sE, sF]",2
"[C, D, I, l{?}, missing, sE]",1
"[sE, D, l{?}]",2
"[C, D, L, Y, sN]",1
"[R, D]",3
"[promise]",1
"[D, I, L, l{?}]",26
"[sF, C, D, I, sN, error, L, l{?}]",1
"[I, sE]",2
"[C, D, I, L, error]",1
"[D, missing]",647
"[C, D, I, l{?}]",52
"[C, D, error, language, sF]",1
"[expression]",40
"[missing, sS]",13
"[C, sF, D, M{X}, X, I, sN, L, l{?}]",1
"[error, l{?}, missing, sS]",2
